City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Warrington,GB,53.3925,-2.5802,42.62,87,75,5.75,broken clouds
79,Chardara,KZ,41.2547,67.9692,13.93,94,17,3.36,few clouds
80,Beringovskiy,RU,63.05,179.3167,-8.72,96,100,13.96,overcast clouds
81,Tsnori,GE,41.6209,45.9694,33.06,79,6,1.61,clear sky
82,Komsomolskiy,UZ,40.4272,71.7189,22.23,77,34,1.66,scattered clouds
83,Junqueiropolis,BR,-21.5147,-51.4336,76.51,78,53,4.5,broken clouds
84,Port Lincoln,AU,-34.7333,135.8667,66.42,72,14,12.68,few clouds
85,Minas De Barroteran,MX,27.6333,-101.2833,58.41,64,99,16.73,overcast clouds
86,Mareeba,AU,-17.0,145.4333,81.48,79,14,3.65,few clouds
87,New Norfolk,AU,-42.7826,147.0587,67.71,62,13,1.52,few clouds
88,Lexington Park,US,38.2668,-76.4538,46.72,55,75,25.01,broken clouds
89,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,13.8,few clouds
90,Mehamn,NO,71.0357,27.8492,31.95,93,100,25.32,shower snow
91,Indramayu,ID,-6.3264,108.32,77.41,86,100,4.59,overcast clouds
92,Umm Kaddadah,SD,13.6017,26.6876,62.46,15,9,12.41,clear sky
93,Aklavik,CA,68.2191,-135.0107,-7.6,77,75,6.91,broken clouds
94,Puerto Escondido,MX,15.85,-97.0667,81.59,63,0,5.37,clear sky
95,Faanui,PF,-16.4833,-151.75,78.37,77,100,12.62,moderate rain
96,Fryanovo,RU,56.1333,38.45,7.39,99,93,3.62,overcast clouds
97,Makakilo City,US,21.3469,-158.0858,81.68,59,3,5.77,clear sky
98,Poprad,SK,49.0614,20.298,32.31,93,100,1.14,overcast clouds
99,Yellowknife,CA,62.456,-114.3525,9.12,92,75,12.66,broken clouds
100,Thompson,CA,55.7435,-97.8558,-5.64,71,20,5.75,few clouds
101,Mandalgovi,MN,45.7625,106.2708,-14.76,83,0,8.37,clear sky
102,Orocue,CO,4.7912,-71.3354,83.52,52,98,6.38,overcast clouds
103,Touros,BR,-5.1989,-35.4608,80.15,78,18,10.58,few clouds
104,East London,ZA,-33.0153,27.9116,76.87,86,29,12.15,scattered clouds
105,San Patricio,US,28.017,-97.5169,62.83,59,93,16.98,overcast clouds
106,Dikson,RU,73.5069,80.5464,-13.13,85,100,31.54,overcast clouds
107,Hilo,US,19.7297,-155.09,83.28,83,1,8.01,clear sky
108,Alofi,NU,-19.0595,-169.9187,80.49,83,75,3.44,light intensity drizzle
109,Coahuayana,MX,18.7333,-103.6833,80.89,57,7,5.86,clear sky
110,Jamestown,US,42.097,-79.2353,33.39,61,100,5.99,overcast clouds
111,Russell,US,32.3502,-85.1999,56.48,68,6,4.65,clear sky
112,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,63,75,19.57,broken clouds
113,Erzin,TR,36.9559,36.2,51.85,60,0,5.26,clear sky
114,San-Pedro,CI,4.7485,-6.6363,78.87,87,33,5.37,scattered clouds
115,North Bend,US,43.4065,-124.2243,52.16,93,31,10.16,scattered clouds
116,Luderitz,NA,-26.6481,15.1594,62.47,86,0,11.61,clear sky
117,Saldanha,ZA,-33.0117,17.9442,64.45,84,0,6.76,clear sky
118,Provideniya,RU,64.3833,-173.3,5.11,61,20,17.9,few clouds
119,Walvis Bay,NA,-22.9575,14.5053,65.8,81,54,11.97,broken clouds
120,Ventspils,LV,57.3894,21.5606,31.93,86,100,12.66,overcast clouds
121,Okhotsk,RU,59.3833,143.3,-23.24,83,50,12.48,scattered clouds
122,Victoria,HK,22.2855,114.1577,59.25,58,99,25.01,overcast clouds
123,Portland,US,45.5234,-122.6762,50.99,75,75,8.05,broken clouds
124,Yoichi,JP,43.2039,140.7703,18.0,86,100,16.46,light snow
125,Yulara,AU,-25.2406,130.9889,79.83,29,3,15.52,clear sky
126,Cheyenne,US,41.14,-104.8203,25.12,84,100,4.61,overcast clouds
127,Powassan,CA,46.0334,-79.3496,27.16,87,99,8.37,overcast clouds
128,Bubaque,GW,11.2833,-15.8333,74.26,74,9,14.99,clear sky
129,Guerrero Negro,MX,27.9769,-114.0611,60.31,46,81,10.11,broken clouds
130,Novikovo,RU,51.1537,37.8879,23.5,80,26,6.4,scattered clouds
131,Cairns,AU,-16.9167,145.7667,85.06,77,75,9.22,broken clouds
132,Saint-Francois,FR,46.4154,3.9054,35.04,83,100,10.36,light snow
133,Port Blair,IN,11.6667,92.75,78.84,73,40,0.0,mist
134,Havelock,US,34.8791,-76.9013,53.55,58,23,8.01,few clouds
135,Verkhnevilyuysk,RU,63.4453,120.3167,-22.74,96,100,4.79,overcast clouds
136,Chapais,CA,49.7834,-74.8492,20.98,93,100,6.33,overcast clouds
137,Kraskino,RU,42.7114,130.7794,-7.87,56,1,13.89,clear sky
138,Lompoc,US,34.6391,-120.4579,63.84,60,2,4.0,clear sky
139,Leningradskiy,RU,69.3833,178.4167,-26.39,93,5,8.9,clear sky
140,Iqaluit,CA,63.7506,-68.5145,-9.67,77,75,4.61,broken clouds
141,Hermanus,ZA,-34.4187,19.2345,65.8,80,0,11.65,clear sky
142,Olafsvik,IS,64.8945,-23.7142,32.59,72,100,15.12,overcast clouds
143,Eureka,US,40.8021,-124.1637,57.67,70,3,8.99,clear sky
144,Kailua,US,21.4022,-157.7394,83.14,71,13,1.99,few clouds
145,Wanning,CN,18.8003,110.3967,65.34,88,100,16.15,overcast clouds
146,Christiana,ZA,-27.914,25.1611,70.92,28,40,9.73,scattered clouds
147,Ponta Delgada,PT,37.7333,-25.6667,59.72,72,75,17.27,broken clouds
148,Griffith,US,41.5284,-87.4237,32.31,77,0,12.66,clear sky
149,Elat,IL,29.5581,34.9482,58.84,72,0,5.75,clear sky
