,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Lake City,US,58.86,clear sky,30.1897,-82.6393,"Holiday Inn & Suites Lake City, an IHG Hotel"
196,Qingyuan,CN,53.58,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
199,Edson,CA,41.14,overcast clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
201,Nanortalik,GL,30.38,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
202,Anapskaya,RU,30.43,clear sky,44.89,37.38,Continent Hotel
206,Karoi,ZW,61.92,light rain,-16.8099,29.6925,Chikangwe Guest houses
213,Hasaki,JP,38.21,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
224,Bulawayo,ZW,62.71,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
225,Chuy,UY,68.7,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
231,Gunjur,GM,69.42,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
233,Great Yarmouth,GB,39.02,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
234,Kodiak,US,38.05,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
235,Gillette,US,33.03,scattered clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
240,Nantucket,US,34.0,overcast clouds,41.2835,-70.0995,Jared Coffin House
249,Ponta Do Sol,PT,61.72,clear sky,32.6667,-17.1,Hotel do Campo
251,Cornwall,CA,30.58,overcast clouds,45.0181,-74.7281,Ramada by Wyndham Cornwall
252,Shingu,JP,42.24,overcast clouds,33.7333,135.9833,Shingu UI Hotel
255,Kruisfontein,ZA,69.94,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
258,San Quintin,MX,58.17,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
261,Marawi,PH,67.96,overcast clouds,7.9986,124.2928,Derogongan Residence
263,Ellisras,ZA,69.13,clear sky,-23.6649,27.7443,Lapa le le guesthouse
266,Tuatapere,NZ,59.79,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
268,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
272,Antofagasta,CL,69.49,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
273,Rocha,UY,65.07,clear sky,-34.4833,-54.3333,Aparts Hotel Bahía Pindó
274,Waddan,LY,52.23,clear sky,29.1614,16.139,محل الشريف محمد العايب
279,Pacifica,US,62.28,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
280,Dalen,NL,37.51,overcast clouds,52.6992,6.7556,Coevorden Castle
